Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3936,Euro Truck Simulator,PC,2008,Simulation,Rondomedia,0,0.42,0,0.09,0.51
3938,Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0,0.06,0.51
3944,Guitar Hero Live,XOne,2015,Misc,Activision,0.29,0.17,0,0.05,0.51
3997,Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.5
4050,Medal of Honor,PC,2010,Shooter,Electronic Arts,0.2,0.23,0,0.07,0.49
4064,Sniper: Art of Victory,PC,2008,Shooter,City Interactive,0,0.45,0,0.03,0.49
4078,Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0,0.03,0.49
4109,World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0,0.04,0.48
4124,Football Manager 2015,PC,2014,Simulation,Sega,0,0.43,0,0.05,0.48
4182,"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0,0.45,0,0.02,0.47
4194,The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0,0.29,0,0.18,0.47
4202,NHL 16,XOne,2015,Sports,Electronic Arts,0.37,0.05,0,0.05,0.47
4203,FIFA 12,PC,2011,Sports,Electronic Arts,0.04,0.33,0,0.1,0.47
4209,The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0,0.38,0,0.09,0.47
4246,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.12,0.29,0,0.05,0.46
4268,EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0,0.04,0.46
4279,Mad Max (2015),XOne,2015,Action,Warner Bros. Interactive Entertainment,0.26,0.16,0,0.04,0.46
4311,Thief (2014),XOne,2014,Action,Square Enix,0.26,0.15,0,0.04,0.45
4319,The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45
4335,Watch Dogs,PC,2014,Action,Ubisoft,0.14,0.26,0,0.05,0.45
4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.17,0.21,0,0.07,0.45
4363,One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.08,0.22,0.1,0.05,0.45
4410,Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0,0.04,0.45
4432,Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.26,0.15,0,0.04,0.44
4505,FIFA 14,PC,2013,Sports,Electronic Arts,0.01,0.36,0,0.06,0.43
4507,Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43
4511,Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0,0.04,0.43
4512,Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.35,0.04,0,0.04,0.43
4517,Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0,0.07,0.43
4535,Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.15,0.22,0,0.06,0.43
4551,Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0,0.04,0.43
4564,Skylanders: Trap Team,PS4,2014,Action,Activision,0.18,0.17,0,0.07,0.43
4630,Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
4632,Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,Disney Interactive Studios,0.24,0.15,0,0.03,0.42
4691,BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.39,0,0.02,0.41
4742,Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.14,0.23,0,0.04,0.41
4764,Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive,0.18,0.17,0,0.06,0.41
4771,Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.24,0.13,0,0.04,0.41
4775,FIFA Soccer 13,PC,2012,Action,Electronic Arts,0.02,0.31,0,0.07,0.41
4816,Rocksmith 2014,XOne,2014,Misc,Ubisoft,0.29,0.08,0,0.04,0.4
4818,NHL 15,XOne,2014,Sports,Electronic Arts,0.31,0.06,0,0.03,0.4
4822,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.23,0.14,0,0.04,0.4
4841,Mafia II,PC,2010,Action,Take-Two Interactive,0.17,0.17,0,0.06,0.4
4869,Mass Effect 2,PC,2010,Role-Playing,Electronic Arts,0.01,0.32,0,0.07,0.4
4916,Just Dance 2014,PS4,2013,Misc,Ubisoft,0.18,0.16,0,0.05,0.39
4938,Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,0.32,0,0.07,0.39
4977,Saints Row IV,PS4,2015,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38
5017,Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.15,0.2,0,0.03,0.38
5026,Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38
5059,Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0,0.06,0.38
5060,Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.06,0.38
5073,Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.12,0.2,0,0.06,0.38
5098,Life is Strange,PS4,2016,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37
5106,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.2,0.14,0,0.03,0.37
5109,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.21,0.13,0,0.03,0.37
5120,Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0,0.06,0.37
5134,Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,0,0.33,0,0.03,0.37
5141,Dishonored,PS4,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
5152,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.03,0.37
5153,Need for Speed: The Run,PC,2011,Action,Electronic Arts,0.09,0.21,0,0.07,0.37
5157,Skylanders SWAP Force,PS4,2013,Platform,Activision,0.2,0.12,0,0.05,0.37
5159,Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.25,0.05,0,0.07,0.37
5160,Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.04,0.37
5174,Resident Evil Zero,PS4,2016,Action,Capcom,0.09,0.17,0.05,0.05,0.36
5217,Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0,0.04,0.36
5244,Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0,0.05,0.36
5270,Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.23,0.09,0,0.03,0.35
5334,Farming Simulator 2015,PS4,2015,Simulation,Koch Media,0.1,0.2,0,0.05,0.35
5347,Just Dance 2016,PS4,2015,Misc,Ubisoft,0.16,0.13,0,0.06,0.35
5364,Skylanders: Trap Team,XOne,2014,Action,Activision,0.25,0.07,0,0.03,0.34
5411,Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0,0.03,0.34
5421,Zoo Tycoon (2013),XOne,2013,Simulation,Microsoft Game Studios,0.18,0.13,0,0.03,0.34
5423,The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,0.11,0.17,0,0.05,0.34
5428,Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.34,0,0.34
5484,Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.33
5487,Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,0.14,0.15,0,0.04,0.33
5501,Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.1,0.18,0,0.05,0.33
5558,Sniper Elite 3,XOne,2014,Shooter,505 Games,0.19,0.11,0,0.03,0.33
5575,Dead Space 2,PC,2011,Shooter,Electronic Arts,0.13,0.15,0,0.05,0.33
5580,The Witcher: Enhanced Edition,PC,2008,Role-Playing,Atari,0.32,0.01,0,0,0.32
5584,Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0,0.04,0.32
5597,LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0,0.03,0.32
5608,Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0,0.27,0,0.05,0.32
5615,Murdered: Soul Suspect,PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32
5621,The Settlers 7: Paths to a Kingdom,PC,2010,Strategy,Ubisoft,0,0.26,0,0.06,0.32
5623,TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.24,0,0.05,0.32
5635,DiRT Rally,PS4,2016,Racing,Codemasters,0.03,0.24,0,0.05,0.32
5663,Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.1,0.14,0.02,0.06,0.32
5693,Just Dance 2016,XOne,2015,Misc,Ubisoft,0.24,0.04,0,0.03,0.32
5700,Fable III,PC,2011,Role-Playing,Microsoft Game Studios,0.09,0.17,0,0.05,0.32
5701,Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0,0.03,0.31
5702,Might & Magic Heroes VI,PC,2011,Role-Playing,Ubisoft,0.12,0.14,0,0.05,0.31
5731,Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.05,0.19,0.03,0.04,0.31
5741,Metro: Last Light,XOne,2014,Action,Deep Silver,0.15,0.13,0,0.03,0.31
5761,Football Manager 2016,PC,2015,Simulation,Sega,0,0.29,0,0.02,0.31
5764,Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,0.18,0.1,0,0.03,0.31
5788,Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,0.14,0.13,0,0.04,0.31
5809,Skylanders SWAP Force,XOne,2013,Platform,Activision,0.22,0.06,0,0.02,0.31
5874,DmC: Devil May Cry,PS4,2015,Action,Capcom,0.12,0.13,0,0.05,0.3
5878,Dynasty Warriors 8: Xtreme Legends,PS4,2014,Action,Tecmo Koei,0.09,0.11,0.06,0.04,0.3
5884,Tropico 5,PS4,2015,Simulation,Kalypso Media,0.05,0.16,0.05,0.04,0.3
5893,Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0,0.05,0.3
5913,FIFA 15,PC,2014,Sports,Electronic Arts,0,0.27,0,0.03,0.3
5924,Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.06,0.07,0.14,0.02,0.3
6034,World of Tanks,PC,2011,Shooter,Wargaming.net,0,0.23,0,0.06,0.29
6073,Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0,0.03,0.29
6089,World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.12,0,0.02,0.29
6120,Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0,0.02,0.28
6126,One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
6138,Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28
6159,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.19,0.06,0,0.03,0.28
6205,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,0,0,0.28,0,0.28
6207,UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0.21,0.03,0.03,0.28
6237,Mass Effect Trilogy,PC,2012,Action,Electronic Arts,0.09,0.16,0,0.03,0.28
6254,R.U.S.E.,PC,2010,Strategy,Ubisoft,0.04,0.19,0,0.05,0.28
6261,Deadpool,PS4,2015,Action,Activision,0.13,0.1,0,0.05,0.28
6293,Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.09,0.12,0.02,0.04,0.27
6300,The Evil Within,PC,2014,Action,Bethesda Softworks,0.09,0.16,0,0.02,0.27
6327,Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.06,0.04,0.27
6336,Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.08,0.14,0,0.05,0.27
6343,Tropico 4,PC,2011,Strategy,Kalypso Media,0.1,0.13,0,0.04,0.27
6355,Need for Speed Rivals,PC,2013,Racing,Electronic Arts,0.04,0.19,0,0.04,0.27
6364,LEGO The Hobbit,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0,0.02,0.27
6382,F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
6408,Payday 2,PS4,2015,Shooter,505 Games,0.09,0.14,0,0.04,0.27
6428,Rory McIlroy PGA Tour,XOne,2015,Action,Electronic Arts,0.15,0.09,0,0.02,0.27
6468,Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,0.04,0.18,0,0.04,0.26
6594,Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,Ubisoft,0,0.21,0,0.05,0.26
6598,LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts,0.1,0.13,0,0.03,0.26
6620,Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.12,0,0.04,0.25
6695,J Stars Victory Vs.,PS4,2015,Fighting,Namco Bandai Games,0.07,0.14,0,0.04,0.25
6703,Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,0.15,0.07,0,0.02,0.25
6707,L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive,0.08,0.13,0,0.04,0.25
6709,Hitman: Absolution,PC,2012,Action,Square Enix,0.03,0.17,0,0.04,0.25
6745,Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0,0.01,0.25
6780,Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0,0.02,0.24
6796,Homefront,PC,2011,Shooter,THQ,0.11,0.1,0,0.03,0.24
6827,F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0,0.02,0.24
6839,Metro 2033,PC,2010,Shooter,THQ,0,0.19,0,0.05,0.24
6893,Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24
6912,Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0,0.02,0.24
6919,Angry Birds,PC,2011,Puzzle,Focus Home Interactive,0,0.18,0,0.05,0.24
6925,Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,0.13,0.02,0.04,0.04,0.24
6950,The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.24
6952,DC Universe Online,PC,2011,Role-Playing,Sony Online Entertainment,0.16,0.06,0,0.02,0.24
6977,Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.23
6989,Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0,0.02,0.23
7009,Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.09,0.1,0,0.04,0.23
7021,Skylanders: SuperChargers,XOne,2015,Action,Activision,0.16,0.05,0,0.02,0.23
7050,Project CARS,XOne,2015,Racing,Slightly Mad Studios,0.08,0.13,0,0.02,0.23
7052,Call of Duty: Black Ops 3,PC,2015,Shooter,Activision,0,0.22,0,0.01,0.23
7059,NBA Live 15,PS4,2014,Sports,Electronic Arts,0.15,0.04,0,0.04,0.23
7061,Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,0,0.19,0,0.04,0.23
7074,Rocket League,PS4,2016,Sports,505 Games,0.02,0.14,0,0.07,0.23
7135,Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,0.11,0.09,0,0.03,0.23
7163,Dark Souls II,XOne,2015,Role-Playing,Namco Bandai Games,0.13,0.07,0,0.02,0.22
7182,Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04,0.22
7201,LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0,0.03,0.22
7213,Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.12,0.08,0,0.02,0.22
7222,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0,0,0.22,0,0.22
7248,Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0,0,0.22,0,0.22
7256,Transformers: Devastation,PS4,2015,Action,Activision,0.1,0.08,0,0.04,0.22
7267,Dead Island,PC,2011,Action,Deep Silver,0.12,0.07,0,0.03,0.22
7282,Darksiders II,PS4,2015,Action,Nordic Games,0.09,0.1,0,0.04,0.22
7294,NBA Live 14,PS4,2013,Sports,Electronic Arts,0.14,0.05,0,0.03,0.22
7311,Ride,PS4,2015,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22
7313,Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22
7341,The Amazing Spider-Man 2 (2014),XOne,2014,Action,Activision,0.12,0.07,0,0.02,0.21
7386,Transformer: Rise of the Dark Spark,PS4,2014,Action,Activision,0.07,0.1,0.01,0.04,0.21
7486,Defiance,PC,2013,Shooter,Trion Worlds,0.14,0.04,0,0.02,0.21
7496,The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0,0.03,0.21
7499,Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2
7511,NBA Live 15,XOne,2014,Sports,Electronic Arts,0.17,0.02,0,0.02,0.2
7523,Two Worlds II,PC,2011,Role-Playing,Unknown,0.09,0.09,0,0.03,0.2
7534,"Warhammer 40,000: Space Marine",PC,2011,Shooter,THQ,0.09,0.09,0,0.03,0.2
7550,State of Decay,XOne,2015,Strategy,Microsoft Game Studios,0.14,0.05,0,0.02,0.2
7563,Assassin's Creed Syndicate,PC,2015,Action,Ubisoft,0.1,0.08,0,0.02,0.2
7566,XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.1,0,0.02,0.2
7577,NHL 17,PS4,2016,Sports,Electronic Arts,0.13,0.04,0,0.04,0.2
7593,Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0,0.03,0.2
7609,Saints Row IV,XOne,2015,Action,Deep Silver,0.1,0.09,0,0.02,0.2
7634,Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0,0.03,0.2
7643,Total War: Shogun 2 - Fall of the Samurai,PC,2012,Strategy,Sega,0.07,0.1,0,0.03,0.2
7653,BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03,0.2
7684,South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0,0.02,0.2
7688,Sleeping Dogs,XOne,2014,Action,Square Enix,0.1,0.09,0,0.02,0.2
7728,Shutter Island,PC,2009,Adventure,Merscom LLC,0,0.17,0,0.03,0.2
7731,Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.04,0.12,0,0.03,0.2
7746,Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0,0.02,0.19
7749,Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.07,0.08,0,0.04,0.19
7763,Aliens vs Predator,PC,2010,Shooter,Sega,0,0.17,0,0.02,0.19
7770,The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,0.05,0.13,0,0.01,0.19
7800,Supreme Commander 2,PC,2010,Strategy,Square Enix,0,0.15,0,0.04,0.19
7822,NBA Live 14,XOne,2013,Sports,Electronic Arts,0.16,0.02,0,0.01,0.19
7828,Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0,0.03,0.19
7834,Farming Simulator 2015,XOne,2015,Simulation,Koch Media,0.1,0.07,0,0.02,0.19
7853,Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts,0.05,0.11,0,0.03,0.19
7874,Saints Row IV,PC,2013,Action,Deep Silver,0.11,0.06,0,0.02,0.19
7875,Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0,0.02,0.19
7881,NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0,0,0.01,0.19
7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.16,0,0.03,0.19
7923,Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions,0.09,0.08,0,0.02,0.19
7932,F1 2011,PC,2011,Racing,Codemasters,0,0.15,0,0.04,0.19
7940,Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0,0.16,0,0.03,0.19
7951,Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.13,0,0.03,0.19
7977,Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0,0,0.19
7998,The Lord of the Rings: War in the North,PC,2011,Action,Warner Bros. Interactive Entertainment,0.04,0.11,0,0.03,0.18
8011,MotoGP 14,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0,0.04,0.18
8027,Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.02,0.18
8029,Evolve,PC,2015,Shooter,Take-Two Interactive,0.07,0.1,0,0.01,0.18
8035,Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0,0.04,0.18
8042,Company of Heroes: Anthology,PC,2009,Strategy,THQ,0,0.15,0,0.04,0.18
8043,Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0,0.01,0.18
8058,Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0,0.03,0.18
8077,Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,0.11,0.06,0,0.02,0.18
8089,Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.06,0.03,0.07,0.02,0.18
8096,FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0,0.14,0,0.04,0.18
8097,LEGO Marvel Super Heroes,PC,2013,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0,0.02,0.18
8116,Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0,0.02,0.18
8119,Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0,0.02,0.18
8129,Tom Clancy's Ghost Recon: Future Soldier,PC,2012,Shooter,Ubisoft,0.05,0.1,0,0.03,0.18
8132,Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0,0.03,0.18
8136,FIFA 16,PC,2015,Sports,Electronic Arts,0.04,0.13,0,0.01,0.18
8140,Doom (2016),PC,2016,Shooter,Bethesda Softworks,0.06,0.1,0,0.01,0.18
8145,Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.1,0.03,0.02,0.03,0.18
8219,Monkey Island: Special Edition Collection,PC,2011,Adventure,LucasArts,0,0.14,0,0.04,0.17
8234,Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.04,0,0.03,0.17
8235,Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0,0.02,0.17
8251,Dungeon Siege III,PC,2011,Role-Playing,Square Enix,0.08,0.08,0,0.02,0.17
8261,Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0.17,0,0.17
8263,The Secret World,PC,2012,Role-Playing,Funcom,0.07,0.08,0,0.02,0.17
8296,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03,0.17
8356,NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0,0.03,0.17
8379,MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.17
8402,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
8411,Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.06,0.04,0.05,0.02,0.17
8416,Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17
8430,Payday 2,XOne,2015,Shooter,505 Games,0.08,0.07,0,0.01,0.17
8445,Wildstar,PC,2014,Role-Playing,NCSoft,0.08,0.07,0,0.02,0.17
8450,Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.07,0,0.08,0.02,0.17
8453,The Sims 3: Seasons,PC,2012,Simulation,Electronic Arts,0,0.13,0,0.03,0.17
8505,Stronghold 3,PC,2011,Strategy,N/A,0.06,0.1,0,0,0.16
8530,Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.07,0.04,0.03,0.02,0.16
8574,Murdered: Soul Suspect,XOne,2014,Action,Square Enix,0.08,0.07,0,0.01,0.16
8580,NBA 2K12,PC,2011,Sports,Take-Two Interactive,0.09,0.05,0,0.02,0.16
8600,The Crew,PC,2014,Racing,Ubisoft,0,0.15,0,0.01,0.16
8618,Bulletstorm,PC,2011,Shooter,Electronic Arts,0.07,0.07,0,0.02,0.16
8654,Sniper: Ghost Warrior,PC,2010,Shooter,City Interactive,0,0.13,0,0.03,0.16
8659,Yakuza Kiwami,PS4,2016,Adventure,Sega,0,0,0.16,0,0.16
8673,Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0,0.01,0.16
8675,Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0.1,0,0.04,0.02,0.16
8679,DiRT 3,PC,2011,Racing,Codemasters,0,0.13,0,0.03,0.16
8694,The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16
8700,Darksiders II,PC,2012,Action,Nordic Games,0.03,0.1,0,0.03,0.16
8712,Putty Squad,PS4,2013,Platform,System 3,0.06,0.07,0,0.02,0.16
8727,F.E.A.R. 3,PC,2011,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0,0.03,0.15
8748,Deponia,PC,2012,Adventure,Daedalic,0,0.13,0,0.03,0.15
8753,NHL 17,XOne,2016,Sports,Electronic Arts,0.13,0.01,0,0.02,0.15
8770,Wolfenstein: The Old Blood,XOne,2015,Action,Bethesda Softworks,0.07,0.07,0,0.01,0.15
8795,Darksiders,PC,2010,Action,THQ,0.07,0.06,0,0.02,0.15
8824,The Sims Medieval: Pirates and Nobles,PC,2011,Simulation,Electronic Arts,0.05,0.08,0,0.02,0.15
8845,Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0,0.09,0.04,0.02,0.15
8846,Terraria,PC,2011,Action,Unknown,0,0.13,0,0.02,0.15
8849,Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0,0.01,0.15
8862,Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.08,0.05,0,0.02,0.15
8908,Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
8930,F1 2012,PC,2012,Racing,Codemasters,0.01,0.11,0,0.03,0.15
8939,Yakuza: Ishin,PS4,2014,Action,Sega,0,0,0.15,0,0.15
8949,Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.08,0.06,0,0.01,0.15
8962,Alien: Isolation,PC,2014,Shooter,Sega,0,0.13,0,0.01,0.15
9034,Dishonored,XOne,2015,Action,Bethesda Softworks,0.08,0.05,0,0.01,0.14
9037,Dragon Age: Origins - Ultimate Edition,PC,2010,Role-Playing,Electronic Arts,0,0.12,0,0.02,0.14
